timestamp,gpu_utilization_percent,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2025/06/08 03:23:32.384, 27, 71841, 81920, 86.86, 34
2025/06/08 03:23:35.561, 27, 71841, 81920, 102.13, 37
2025/06/08 03:23:37.433, 27, 71841, 81920, 102.56, 34
2025/06/08 03:23:40.597, 26, 71841, 81920, 106.05, 37
2025/06/08 03:23:42.474, 27, 71841, 81920, 90.44, 34
2025/06/08 03:23:45.634, 28, 71841, 81920, 106.76, 37
2025/06/08 03:23:47.522, 27, 71841, 81920, 101.55, 34
2025/06/08 03:23:50.676, 27, 71841, 81920, 102.39, 37
2025/06/08 03:23:52.543, 26, 71841, 81920, 99.92, 34
2025/06/08 03:23:55.725, 0, 71841, 81920, 63.18, 36
2025/06/08 03:23:57.589, 26, 71841, 81920, 97.96, 34
2025/06/08 03:24:02.622, 0, 71841, 81920, 59.76, 33
